-1 0:-0.2375301272574563 1:0.5416217147972733 2:-0.5510781143432 3:0.4825055778275646 4:0.997706691795788 5:-0.317358151500393 6:0.227889666565232 7:1.863639999518616 8:0.2284764653089287 9:-0.910132467732655
1 0:-0.9807362126618911 1:-1.384315783886704 2:-0.5291493257250427 3:-0.9875212582523034 4:1.348929070638285 5:-0.1884776341241583 6:-1.41542739173611 7:0.9886049899508157 8:0.4832636237676255 9:-1.063253307696588
-1 0:0.09244412954203153 1:-0.6283321114418908 2:-1.610581156133989 3:0.3273943030028898 4:0.6412526205911341 5:1.615648452372188 6:0.1965317974451752 7:-0.805206396387763 8:-0.06384776316899569 9:0.2256338309188097
1 0:1.919407166106854 1:-0.8819442212200024 2:-0.165357527335405 3:-1.326564587761676 4:-0.6421923401871945 5:0.6341610789239133 6:-1.190333980496706 7:-0.7237581520102746 8:-0.9720042796223274 9:-0.5137439420003851
-1 0:-0.277526524065956 1:-0.2807746540723304 2:0.1440753342696227 3:1.125547817868415 4:-0.6215063935165639 5:0.8370012457266667 6:-0.3609830764537219 7:-0.4088745794553089 8:-0.2163722306803693 9:-0.2507005815824692
1 0:-1.225126022157109 1:0.06745094917168715 2:-1.078573442220002 3:-2.039639685234933 4:0.8761867277813029 5:1.208810846657081 6:0.3507540971063199 7:1.246677301528471 8:0.05327382129127266 9:-0.2000805743069621
1 0:-1.639783644226238 1:-0.2061073672333904 2:-1.500595343050476 3:0.4124333792748356 4:-1.290614140207462 5:0.2955104982039122 6:1.397037557045032 7:2.088998805228851 8:-1.053322154524297 9:1.433733075857581
-1 0:0.3684775424940616 1:-0.1277626891037321 2:-0.7785514055419391 3:0.5363097451062089 4:1.445154861565012 5:0.1064805658604917 6:0.9035942024457484 7:1.737813550133471 8:0.5230790445550723 9:0.531134046550035
-1 0:-0.09128004941922703 1:0.8938352827554454 2:0.5956099646448448 3:0.103109266062414 4:-0.780703717464409 5:0.2867911676539476 6:-0.7957419117692356 7:-0.3303429587193481 8:-0.132642682340361 9:-0.7379842450141565
1 0:0.2510301231436548 1:0.06914399290191486 2:-0.2180137071392801 3:-1.265547587345752 4:1.314195099241652 5:0.6165129735052877 6:-1.680921851226325 7:-1.647760442285378 8:-0.9037283033877321 9:0.2628261147937376
1 0:-1.24228890297516 1:-0.7776610124774143 2:1.698189971781342 3:-1.396084593265773 4:-0.6577608418486127 5:-0.6715907357054485 6:2.419296958285289 7:-0.7157789975755913 8:-0.9574458073597849 9:-1.921600182221569
-1 0:-0.1017711677083749 1:0.7537046431927781 2:-1.229641372456669 3:1.586974181299487 4:1.312464251780615 5:-1.131718644701302 6:0.01792590041668981 7:-0.2367661548674927 8:0.9047395258247644 9:-0.4397733667007443
-1 0:-0.01681592226154292 1:0.3350576910091358 2:-1.004181518720796 3:1.211821936294177 4:0.06705951395514097 5:-0.7182289864448917 6:0.1221330045893719 7:2.068160859221211 8:-0.3182579238930979 9:1.015844846868406
-1 0:-0.9338707568773102 1:-0.4307009032252158 2:-0.07803504782343298 3:-0.8256825501219849 4:1.284929505912121 5:0.9294416187552166 6:-0.8509871342240554 7:-0.3266534060304616 8:0.7897933965853648 9:0.8895954990903027
1 0:-0.8931720538088692 1:1.681787448273398 2:1.406983538971811 3:-2.049970129132614 4:0.4062305437912058 5:1.691102329127497 6:0.3741048634548588 7:1.344996863211322 8:-0.2473695824076409 9:-0.6541321863149051
-1 0:0.001805243284715456 1:-1.084276969288255 2:0.4751495528814754 3:0.1031429538309232 4:2.028130357234529 5:0.7722396026042517 6:-1.007765353402897 7:-0.5485356720247594 8:-0.6623377645458043 9:0.2251743838910824
1 0:0.01540561065215411 1:0.2006603943101802 2:-0.3111914901855569 3:-1.199468274644983 4:0.6595735615111007 5:-2.57795776150621 6:-0.971198828074744 7:-0.9038152648216775 8:0.7043036773204708 9:-0.07554073387009953
-1 0:-0.2885643154990311 1:0.2593555726181863 2:-1.058966606416383 3:-1.269064890889405 4:0.2998627470363332 5:-0.7478326588551178 6:-0.4968671579913918 7:0.8980883591479503 8:0.5346252935884096 9:-1.632116927884821
-1 0:0.6371076917748408 1:0.470732211298532 2:0.3716417432890584 3:-0.6364308956480075 4:0.65462287270001 5:0.06824883559442822 6:0.5875433023569722 7:1.04004657043472 8:-0.7847598851566309 9:-0.5047761754254837
-1 0:-0.1702244587565676 1:-0.5382809182994208 2:-0.74602382750146 3:-0.2793307323141878 4:-1.027844860845684 5:1.220816196021356 6:0.3005491280693446 7:-0.3980206118305145 8:-0.6364008955907312 9:0.9920027884918879
-1 0:-0.838363669104533 1:-0.1697639910910398 2:-1.784992723595453 3:-0.3424386500686338 4:-0.22181555070897 5:-0.4581432933249972 6:0.3532124440952421 7:0.1244374891299259 8:-0.265816791649009 9:0.3421354204072674
1 0:-0.5983542199593714 1:-0.8085011681682903 2:0.3744702193550561 3:-0.5886227385720483 4:1.440020431518373 5:1.048737184392795 6:0.5519345788937271 7:-1.24867283954785 8:-1.221959945673711 9:1.672008057966025
1 0:0.3004608000645639 1:1.448516583275954 2:-0.3878082168326846 3:-0.8734068466214254 4:-0.2145413420665842 5:-1.95006543804179 6:-0.1576330958998528 7:-1.474415597481676 8:0.3693087217564414 9:0.8700890045309971
-1 0:-0.4733321013344733 1:0.02085905059577266 2:-0.3895202842728773 3:-2.21465966255955 4:0.267522146563616 5:0.2373746693747862 6:0.1825185920671304 7:-0.006549473339069557 8:0.9768311016298518 9:0.101662402286514
-1 0:-1.334549872486237 1:0.9512168341685223 2:1.591921843929635 3:0.2381451492167014 4:0.03694304670297435 5:-0.3437851120903445 6:-0.5940694534169136 7:-0.08145466731427264 8:0.4558634505407143 9:0.4600162636645839
-1 0:-0.0191043170946488 1:-1.777910769357078 2:1.452279977424759 3:-0.1399990228590471 4:1.291480176646499 5:-0.01315126931985421 6:0.860863234119289 7:-0.3546451219977116 8:-0.6094284844899795 9:0.4764807584790138
1 0:-1.270787819881182 1:-0.6318274559933842 2:0.5897962092627084 3:0.447639058774206 4:1.822214726986316 5:-0.9353216521768695 6:-0.4577903260714459 7:-0.5383655761031566 8:-2.152698944031598 9:0.6668056537046004
1 0:-0.2685732660251661 1:1.484749879937981 2:0.5593499359271472 3:1.614095485951655 4:-0.3074828741013036 5:-1.413944467254383 6:-2.323354848401631 7:0.2040226172670273 8:-0.7042589399517889 9:0.2599954312546487
