-1 0:-1.07642143044348 1:-1.588505459827741 2:-0.5161896022569494 3:0.5317723632203635 4:-0.02700921517617422 5:-0.5630375305973301 6:0.3493013426373339 7:-0.6143650563180552 8:-0.3959151980254327 9:-0.3729317794561631
1 0:0.3197054794363289 1:0.0670589722425325 2:2.859350272487454 3:1.641266407622302 4:-0.4382074681909278 5:0.5848719662040905 6:-0.8052283258520614 7:-0.1991025077969142 8:-1.658534164883822 9:0.2561753616386502
1 0:-1.443936540322351 1:-0.1434702372033589 2:-1.490742042076045 3:0.534389872779624 4:-0.03700685754991734 5:-0.4571016923545326 6:-1.839326107935911 7:1.518119086783674 8:-1.393489596276152 9:-0.6109949771262236
-1 0:1.204324307922194 1:1.29358346527578 2:0.6921775132703211 3:1.103225357633084 4:0.2848521376830534 5:-0.1163492523876162 6:-1.680261987375707 7:0.9025544396801185 8:0.570874926492061 9:0.4785933907449664
-1 0:0.8143170756995826 1:-0.103875787104044 2:-0.9791395990611365 3:1.487877240566873 4:0.6093792540498497 5:-0.8251005261788782 6:0.2165492759563804 7:-0.8328928601205468 8:0.7296148493326832 9:-1.197371057096659
1 0:2.016892294074265 1:-0.6903216756979751 2:0.6435303412141267 3:-1.260919742999211 4:0.3188385915592251 5:-1.75483059541425 6:0.4782571371492978 7:-1.66406912315881 8:-1.632657917450715 9:1.123862005635552
-1 0:-0.3432847044858731 1:0.2268032832673718 2:0.263648082047593 3:1.038316284558995 4:0.5549025862602915 5:-0.4794272277306869 6:-1.040458157596773 7:-1.98809887049327 8:0.3282597830267684 9:-0.6330434876674549
-1 0:0.4683418624375204 1:-1.117358574228641 2:0.03671147080283627 3:1.012190617793671 4:-0.09746797619260032 5:0.75858708026398 6:0.002054316345577769 7:-0.9204840607024799 8:-0.4191766988822095 9:-0.6682945178826915
-1 0:0.9426283465560842 1:-0.5993895137694433 2:1.133567226905028 3:1.365548116049096 4:-1.057068734542507 5:-0.359667017873496 6:-1.680987015153842 7:-0.335599010203084 8:0.4609711136050397 9:-0.4514632504412579
-1 0:0.4638520761315518 1:0.6427472089795007 2:-1.266585900118197 3:-0.6387374802693244 4:-0.1831046247431239 5:-0.5066621320919881 6:0.7931163792651079 7:0.6112231114493469 8:-2.007682962563216 9:0.6254197776119099
-1 0:0.2381016233960642 1:0.3265547897392065 2:0.741751874903099 3:-0.203492468301274 4:0.07605944752093113 5:-0.1500852011672148 6:-0.7649162636777601 7:0.4106650539088766 8:1.621669086128513 9:-1.033452244927421
1 0:0.6939209877914413 1:0.2725797125612737 2:0.1634305205709562 3:-1.494732378933648 4:-0.7016957739520423 5:1.563592340368384 6:-0.7805863396180005 7:-0.07992124088933167 8:1.715035594058042 9:-0.9741121449794078
-1 0:-0.2319789620676674 1:-0.8843330722832859 2:-0.005416087612256674 3:-0.6535040206828573 4:0.4775095957037888 5:0.867581823216471 6:0.778318276375101 7:1.390717000269932 8:-0.967780141013959 9:-1.000338087785096
1 0:-0.5191224705271886 1:-1.311631125717792 2:-0.2694911644896351 3:-2.468957877890883 4:0.6771489234252168 5:-0.02792492782603954 6:-1.230194866311711 7:0.6986291466441927 8:0.01364728488275486 9:1.054324783379477
1 0:0.3660988181794718 1:0.6557970920688591 2:-1.606518425913632 3:1.198733879369634 4:-0.6287718136338866 5:0.748725614861402 6:-1.311949213864172 7:-1.379257919186922 8:1.514705084804897 9:-1.490374511164163
1 0:0.3110930179345479 1:0.6285750627026184 2:-0.6839518349990369 3:0.5285901696473511 4:0.2976757315080455 5:-1.127937489046918 6:0.931605824230787 7:-0.5791160311613488 8:0.9534384773079193 9:2.529811304248513
-1 0:1.350180496512601 1:1.229542188421265 2:-0.4568336307614415 3:-1.240724091130169 4:-0.2600387186115907 5:0.8073966634011386 6:-0.03188150982438361 7:0.5771316098721671 8:1.266617753943933 9:0.6374434672091346
1 0:1.279748559017434 1:1.62289189184206 2:-1.071771503792341 3:2.541188405521213 4:1.277407923267239 5:-0.4724228416042072 6:-0.2945203021901672 7:-0.04839973841813764 8:-0.2459025143119881 9:-1.517561145071829
-1 0:-0.070304311346736 1:-1.771167644800286 2:-0.4374592987718822 3:-0.104693823654785 4:0.3093596045799094 5:-0.4971522199682933 6:1.099752994949126 7:0.7696636452239101 8:-0.9253442593089103 9:0.8909825380060683
-1 0:-1.63921043930866 1:-0.8184504156220547 2:-0.03478488892050576 3:1.529427194650324 4:1.19483450009033 5:-0.9249983466453067 6:-0.1632370670380307 7:0.482483819617518 8:-0.6225371829831295 9:0.2544572822738774
1 0:-1.30276208752159 1:2.2952196779356 2:-0.3374711601042589 3:-1.346915153629237 4:0.850295519119219 5:0.1642415400717175 6:0.1189806329173507 7:0.5748633974616494 8:-0.3956784457068513 9:-0.5298983400591679
1 0:1.698710779255101 1:-0.1649275170302764 2:-0.4962643758271036 3:1.393806977301993 4:1.244400086481098 5:-0.01168654618933961 6:-0.08814658798967662 7:2.265010707493595 8:0.9378055500048115 9:-0.6521593495992307
1 0:-1.501047900277254 1:-0.4368012475521565 2:-3.104035360260435 3:1.259378793264913 4:-1.859491490865277 5:1.361558302173596 6:1.589349536665426 7:-1.14725348902759 8:0.1371966287546364 9:0.463227585267661
1 0:-0.2532618219111302 1:1.305522912379608 2:0.4495320204713294 3:-0.1916798698613167 4:-1.04744918703578 5:-2.466588023599761 6:-0.5472744569389648 7:-0.5015593734512233 8:-0.3956407810261221 9:-0.48975295399693
1 0:-1.039455338722851 1:4.010389846347891 2:0.6800870676153955 3:-0.18585342593956 4:-0.2641476862701777 5:-1.08073458809687 6:1.641359742172483 7:-2.1178373939046 8:-0.7172155326388121 9:-0.0349462673584567
-1 0:-0.1792819786526811 1:0.9693114052995582 2:1.333951377193609 3:0.4681535228707968 4:0.3825073833055774 5:0.6913334298344987 6:0.6219165532522469 7:1.455800345362188 8:0.8943936835705991 9:0.009304352140255292
-1 0:1.03882843719544 1:-0.6823615648484928 2:0.2646655640012301 3:0.7141120069042456 4:1.445146457693597 5:0.9078260173408217 6:0.954290672228236 7:0.7147797588135653 8:0.7558537129224998 9:0.3841819471165907
-1 0:-0.780179109915892 1:-0.9166117937888032 2:-0.5364760642821679 3:0.1444146478709662 4:0.8276929715575164 5:-0.2973600337006377 6:1.529037034740826 7:-0.6175329356832568 8:0.009293584600930539 9:-0.7092130812482362
1 0:1.594312290431685 1:0.4722583623348078 2:0.6366977856727248 3:-1.470286430587791 4:-0.6357087509511131 5:-0.6449825273968951 6:-1.402127416693871 7:-0.7705611702648936 8:1.258317097143196 9:0.03727888173975522
-1 0:-0.6460904798789632 1:-0.3967465979051182 2:-0.3700651429737103 3:0.3186807823562183 4:-0.1839744325074073 5:-0.2829640963321803 6:-0.946285577651285 7:0.5996605956921482 8:-0.8665364997713929 9:0.04830739846615527
1 0:-1.813990509830711 1:-1.144025925676595 2:-1.51272807319695 3:0.5962939532871789 4:-0.6709137817082999 5:-0.8016273443037872 6:-0.6746326928574035 7:0.708115125345263 8:0.8373757306406895 9:-0.6440717243594255
