-1 0:-0.2897509714357742 1:-0.02087827285934957 2:-0.07916347593905626 3:-1.282670525439288 4:-0.5782758248553796 5:-1.084465479309237 6:1.634229254303817 7:0.9182060588091557 8:0.005349990485196315 9:0.4752951208230773
1 0:1.554713573760717 1:-0.0510911202443328 2:0.5115769617452666 3:1.14943572214357 4:-1.697315920009383 5:-0.132091024081089 6:0.5003177557385121 7:2.035278909607009 8:0.8838628165961848 9:0.01498305376706193
-1 0:1.073743419214424 1:0.51842612755839 2:-1.111133066983072 3:1.367308525868548 4:-1.071638169872411 5:0.9682567036085006 6:0.3241195145436848 7:0.9235386337593603 8:-0.5020475239639504 9:0.5170453670384415
-1 0:0.1928596647606138 1:1.404899508232417 2:1.24037109823249 3:0.03786923705075378 4:1.455257506310518 5:0.2633030649879342 6:0.065349403044047 7:-1.044019166982598 8:0.4931977160761283 9:-1.288652320182766
-1 0:-0.5039237024385702 1:0.7032334147476076 2:-0.5537023677824643 3:0.3528581293225031 4:0.4841344057299039 5:-1.547664618634508 6:0.6493964296654999 7:-0.00439078327039224 8:0.01087207570938534 9:0.5369255961672498
-1 0:-0.1831332499056632 1:0.2271064094731273 2:-1.184307245830234 3:0.422744627218154 4:0.4701599263430412 5:-1.244688216467314 6:-0.2413792635489938 7:1.434076458076635 8:0.06199556594435122 9:1.079740755852378
-1 0:-0.5633012433500008 1:0.7446748254271605 2:0.5037236684108697 3:0.9450862874550811 4:0.3169892321185165 5:0.4503366312213005 6:0.708077498336426 7:0.2530559877993956 8:-0.1023612609383946 9:1.671518388243344
-1 0:-1.147966368804892 1:-0.3546761417868735 2:-0.8425206692216747 3:-1.338505850681022 4:0.617775808914366 5:1.329783112877377 6:-0.928066366315514 7:0.92820194993675 8:-0.6580918152125347 9:-0.1601654646503249
1 0:1.936442702966074 1:1.217174747868073 2:0.7837186986563096 3:0.5629999194440582 4:0.5006888922844954 5:-0.2465947483728695 6:-1.322571586377148 7:-1.755513260437962 8:-1.603186240270623 9:0.8483857420776744
-1 0:-0.1291553311636693 1:0.412698137826109 2:-1.20207616233498 3:0.8872461048786611 4:-0.06997444020434343 5:1.011659691535556 6:0.6238002616359343 7:1.983383271298554 8:0.08058774804649932 9:-0.4254164753450048
1 0:-0.2547894802525974 1:2.072407146730302 2:1.145708486313507 3:-1.423506259242979 4:-1.127779474612213 5:2.321224018785629 6:0.61235549896093 7:-0.7757873336261589 8:0.1790350356436221 9:-0.3288065366583245
-1 0:-0.610596511772224 1:-1.117072820978187 2:0.6742212258352515 3:0.9933489477090863 4:0.02555011649731794 5:-1.129862917192191 6:-0.2909057643206779 7:-0.7994563916963657 8:0.6870913187970209 9:0.3629599020923586
-1 0:0.2650319512587852 1:0.724867552759333 2:0.6352011000474641 3:0.6634889758535046 4:-0.3268414838276291 5:-0.3922647223295498 6:-0.2995282439499247 7:0.8242329468153755 8:0.23342879519496 9:2.31120014755439
-1 0:-0.0182775728005116 1:-1.099934253525977 2:1.306402509426426 3:0.4847382090448017 4:1.381335453645408 5:-1.12035705233276 6:-0.2918456111295541 7:0.3409306806166619 8:-0.4570786778686713 9:-0.4493867573093107
1 0:0.473054668277999 1:-1.888960983124316 2:0.799535852923544 3:-1.248275832723568 4:0.933043264380185 5:1.204371738206032 6:1.035248739366914 7:0.3511442155415169 8:1.319278156426021 9:1.945989177639005
1 0:-1.078014264609478 1:-1.435690355845863 2:0.1604017190870348 3:0.7880895078682734 4:-0.3723765918946768 5:-0.5321380610236962 6:-0.1099651750904686 7:1.327762870284174 8:-1.862543999700927 9:0.967919358496981
1 0:1.10218294271955 1:1.330225678465405 2:0.03536810876329232 3:-1.058725681290932 4:-0.4679163538953299 5:0.796472860428206 6:3.527261422286845 7:0.403156721865321 8:0.2227096779695475 9:-0.2775702296316368
-1 0:-0.2679548797429951 1:-0.4687390208239594 2:0.1105716942916734 3:-0.8953225810776082 4:0.9352765919380717 5:0.8122315809108323 6:-0.9925015359559916 7:-0.3465277959705444 8:0.0195777137502561 9:0.8125192987360071
-1 0:-1.853808043664049 1:-0.4881993561839286 2:-0.3180998045545824 3:-0.12366723800876 4:-0.5578011613593308 5:0.6609886162396077 6:0.3096694269704747 7:-0.2278150541371675 8:0.7663458266973299 9:1.758436590459095
-1 0:1.255429942220008 1:-0.8049410783889089 2:0.08410852714824871 3:0.7713755510562994 4:0.3052876287516359 5:1.046052582126653 6:1.696976868081469 7:0.5704219165037804 8:-0.1961274425212328 9:0.4411701025615736
1 0:0.7175209223355833 1:0.4161589135451836 2:-0.04621467519483223 3:-0.5736256259001511 4:-1.707840312332309 5:-1.023887470974834 6:0.6652339546287369 7:1.889652636340189 8:-1.166489138454426 9:0.399520073501877
-1 0:-0.002485398339426515 1:0.5903744637314032 2:-0.7990180669818793 3:0.7083281290413442 4:-0.6747388263565481 5:-1.379396453971585 6:-1.163589393091499 7:0.174341916634479 8:-0.006917690514215771 9:0.4145490258031584
-1 0:0.9657314305302366 1:0.8254327221169683 2:0.5937801606548028 3:0.9552445156454008 4:-0.08934478503853778 5:-0.8128885228992242 6:1.806063725809621 7:0.07382694644853044 8:-0.376759064712259 9:-1.013215211289451
1 0:0.3620728685642117 1:0.04695787853976659 2:0.4125892992353666 3:0.3759135327193524 4:-0.9503876010439652 5:0.7062503959901851 6:0.3592599754703842 7:-0.5366274665197422 8:-2.248685481834246 9:-1.904016502384423
-1 0:-1.179987515531317 1:-1.139241315066795 2:-0.5410747179696244 3:-0.7314635561660739 4:0.695592278552657 5:0.974693170335893 6:0.2699045606892115 7:-0.7712095653097876 8:0.3031959462787233 9:-1.051772595337444
-1 0:0.06414396005454701 1:0.7636567345880387 2:1.088997324805718 3:0.3564170472372722 4:1.534903526373808 5:0.6245481710975416 6:0.805799241238207 7:0.7829126091080997 8:0.6055573957502108 9:0.6458266242135514
1 0:-1.444193427613526 1:-1.517431950503863 2:-0.8804971257091179 3:-1.477281939916352 4:1.781688485689114 5:-0.2606700872843497 6:-1.267109148401825 7:0.3052624719571622 8:-0.1256570822300535 9:0.8417959913852817
-1 0:-0.3440776522546005 1:-0.3054542032249479 2:0.2896292751778496 3:1.317107596599003 4:-1.323714745470872 5:-1.342973356389996 6:0.6223503252330749 7:0.1794685285310003 8:0.09629475461660167 9:0.9499963525399164
-1 0:0.8812371008956191 1:-0.791617905690724 2:0.4447203798385604 3:2.039312613540444 4:-1.180699320112422 5:-0.4494489509657532 6:-0.02893698265812891 7:-1.087923950466271 8:0.5690816361355525 9:0.2110917547881158
